ID,Fraction_ID,Envelope_num,Mass,MonoMz,Charge,Intensity,mzLo,mzHi,rtLo,rtHi,color,opacity,promex_score
70,0,165,12841.1,1071.1,12,1.09E+10,1071.17,1072.54,72.6875,76.923,#FF0000,0.1,55.1868
70,0,181,12841.1,988.786,13,2.31E+10,988.841,990.12,72.661,77.8507,#FF0000,0.1,55.1868
70,0,204,12841.1,918.231,14,3.97E+10,918.274,919.476,72.6363,78.3322,#FF0000,0.1,55.1868
70,0,211,12841.1,857.082,15,4.13E+10,857.116,858.252,72.6128,78.4353,#FF0000,0.1,55.1868
70,0,186,12841.1,803.578,16,2.35E+10,803.603,804.68,72.6363,78.2763,#FF0000,0.1,55.1868
70,0,170,12841.1,756.368,17,9.78E+09,756.386,757.411,72.6875,77.417,#FF0000,0.1,55.1868
70,0,141,12841.1,714.403,18,3.72E+09,714.415,715.394,72.7152,76.6363,#FF0000,0.1,55.1868
70,0,30,12841.1,676.856,19,4.31E+08,676.862,677.8,72.7412,76.8472,#FF0000,0.1,55.1868
70,0,4,12841.1,643.064,20,2.47E+07,643.064,643.966,72.9173,74.8018,#FF0000,0.1,55.1868
71,0,8,2633.24,1317.63,2,7.52E+07,1317.53,1320.23,56.8563,57.1183,#FF0000,0.1,27.964
71,0,55,2633.24,878.753,3,1.05E+10,878.653,880.524,56.805,58.0612,#FF0000,0.1,27.964
72,0,17,10593,1514.29,7,2.92E+08,1514.33,1516.39,84.7757,85.0328,#FF0000,0.1,54.8406
72,0,17,10593,1325.13,8,3.91E+08,1325.15,1326.98,84.7757,85.068,#FF0000,0.1,54.8406
72,0,17,10593,1178,9,5.13E+08,1178.02,1179.66,84.7572,85.0522,#FF0000,0.1,54.8406
72,0,20,10593,1060.31,10,1.32E+09,1060.31,1061.81,84.7315,85.2752,#FF0000,0.1,54.8406
72,0,25,10593,964.005,11,2.65E+09,963.996,965.381,84.7315,85.378,#FF0000,0.1,54.8406
72,0,23,10593,883.755,12,3.89E+09,883.739,885.025,84.7315,85.3385,#FF0000,0.1,54.8406
72,0,27,10593,815.852,13,4.55E+09,815.829,817.031,84.7315,85.3248,#FF0000,0.1,54.8406
72,0,20,10593,757.649,14,9.73E+08,757.62,758.751,84.7315,85.2595,#FF0000,0.1,54.8406
72,0,9,10593,707.206,15,1.19E+08,707.173,708.241,84.7757,84.9597,#FF0000,0.1,54.8406
73,0,2,2505.17,1253.59,2,1.03E+08,1253.49,1256.2,94.5612,94.8008,#FF0000,0.1,-234.753
73,0,1,2505.17,836.066,3,5.37E+08,835.966,837.836,94.6107,94.6107,#FF0000,0.1,-234.753
74,0,3,9035.3,1506.89,6,5.42E+07,1506.96,1509.16,63.8028,63.8028,#FF0000,0.1,54.1854
74,0,155,9035.3,1291.76,7,4.39E+09,1291.81,1293.73,63.4522,66.6937,#FF0000,0.1,54.1854
74,0,135,9035.3,1130.42,8,5.43E+09,1130.44,1132.15,63.4267,66.7555,#FF0000,0.1,54.1854
74,0,149,9035.3,1004.93,9,9.70E+09,1004.94,1006.48,63.4267,67.1812,#FF0000,0.1,54.1854
74,0,159,9035.3,904.537,10,1.70E+10,904.537,905.94,63.4023,67.593,#FF0000,0.1,54.1854
74,0,169,9035.3,822.398,11,2.87E+10,822.389,823.682,63.3775,67.759,#FF0000,0.1,54.1854
74,0,159,9035.3,753.949,12,1.84E+10,753.932,755.135,63.4023,67.2277,#FF0000,0.1,54.1854
74,0,143,9035.3,696.03,13,6.19E+09,696.007,697.132,63.4267,67.0103,#FF0000,0.1,54.1854
74,0,100,9035.3,646.386,14,1.80E+09,646.357,647.416,63.4522,66.4923,#FF0000,0.1,54.1854
74,0,6,9035.3,603.36,15,3.17E+07,603.327,604.329,63.9205,65.8413,#FF0000,0.1,54.1854
75,0,2,8439.28,1407.55,6,6.41E+07,1407.45,1409.66,98.5665,98.5778,#FF0000,0.1,51.0392
75,0,7,8439.28,1206.62,7,8.31E+08,1206.52,1208.44,98.5665,98.5902,#FF0000,0.1,51.0392
75,0,3,8439.28,1055.92,8,4.58E+08,1055.82,1057.52,98.5665,98.5902,#FF0000,0.1,51.0392
